stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3677,0654,RIVER / SHORELINE PATHWAY,,,45.275755,-75.696095,,,0,,,0,,
2822,0655,SHIRLEY'S BROOK / TOBERMORY,,,45.353997,-75.919485,,,0,,,0,,
5002,0660,SOUTHVALE / BLACKSTONE,,,45.39579,-75.609858,,,0,,,0,,
4868,0661,BEATRICE / CLEARBROOK,,,45.273482,-75.726548,,,0,,,0,,
7108,0663,CHAPMAN MILLS / CLEARBROOK,,,45.272802,-75.72133,,,0,,,0,,
6656,0664,CHAPMAN MILLS / CLEARBROOK,,,45.273267,-75.720818,,,0,,,0,,
6049,0668,CAMBRIAN / GREENBANK,,,45.252723,-75.737207,,,0,,,0,,
6050,0669,CAMBRIAN / REGATTA,,,45.25204,-75.738812,,,0,,,0,,
6045,0670,CAMBRIAN / REGATTA,,,45.25181,-75.739193,,,0,,,0,,
9648,0671,CAMBRIAN / RIVER MIST,,,45.251213,-75.74089,,,0,,,0,,
9649,0672,CAMBRIAN / RIVER MIST,,,45.250999,-75.740959,,,0,,,0,,
3419,0673,STRANDHERD / ANDORA,,,45.266423,-75.755326,,,0,,,0,,
3418,0674,STRANDHERD / ANDORA,,,45.266358,-75.755217,,,0,,,0,,
10129,0675,FAMILLE-LAPORTE /  HONFLEUR,,,45.500188,-75.468613,,,0,,,0,,
4867,0676,BEATRICE / CHAPMAN MILLS,,,45.272305,-75.72627,,,0,,,0,,
6023,0678,SPRATT / GOLDENEYE,,,45.282082,-75.686025,,,0,,,0,,
9644,0689,LONGFIELD - DAVIDSON HEIGHTS H.S.,,,45.278912,-75.740236,,,0,,,0,,
6037,0691,SPRATT / CANYON WALK,,,45.284727,-75.680915,,,0,,,0,,
6040,0692,SPRATT / OWL VALLEY PARK,,,45.277345,-75.688108,,,0,,,0,,
3664,0694,RIVER / AD. 335,,,45.316675,-75.692122,,,0,,,0,,
3686,0695,RIVER / AD. 335,,,45.31658,-75.692033,,,0,,,0,,
6032,0696,2320 LESTER RD,,,45.329936,-75.648849,,,0,,,0,,
6029,0697,2320 LESTER RD,,,45.330368,-75.64861,,,0,,,0,,
8388,0699,TRIM / TAYLOR CREEK,,,45.491365,-75.479635,,,0,,,0,,
4285,0700,JEANNE-D'ARC N / PARKROSE,,,45.4934,-75.493757,,,0,,,0,,
4302,0701,JEANNE-D'ARC N / PARKROSE,,,45.493447,-75.493653,,,0,,,0,,
9914,0702,WEST RIDGE / STITTSVILLE MAIN,,,45.242087,-75.91415,,,0,,,0,,
9915,0703,STITTSVILLE MAIN / WEST RIDGE,,,45.241444,-75.912789,,,0,,,0,,
1093,0704,WAJASHK / ALGONQUIN COLLEGE RESIDENCE,,,45.350538,-75.756868,,,0,,,0,,
